,Type,Metal,Ligand,Synthesis method,Solvent,Physical state,Oxidation number,Reaction Time (h),SSA (m2/g),Pore size (nm),pore volume (cm3/g),CO2 adsorption capacity (mmol/g),CO2 selectivity percentage,Adsorption Temp (K),Adsorption pressure (bar),filename,Group,SuperGroup,0,1,unit,mean
141,(NH4)3[In3Cl2(BPDC)5] (4),In,H2BPDC,deep eutectic solvent (des),cholinechloride/oxalicacid,solid,3.0,3.0,,,,,,,,075.pdf,(NH4)3[In3Cl2(BPDC)5] (4),(NH4)3[In3Cl2(BPDC)5] (4),,,,
142,[Zn2(TCA)(BIB)2.5]·(NO3),Zn,BIB,self-assembly,DMA/EtOH,solid,2.0,2.0,504.0,0.65,,2.1593646827875435,,273.0,1.01325,076.pdf,[Zn2(TCA)(BIB)2.5]·(NO3),[Zn2(TCA)(BIB)2.5]·(NO3),,,,
143,CuIn1-xGaxS2-ySey (CIGSSe),"Cu, In, Ga",,"solution-coated, selenization, and post-sulfurization",MeOH,thin film,,30.0,,,,,,,,077.pdf,CuIn1-xGaxS2-ySey (CIGSSe),CuIn1-xGaxS2-ySey (CIGSSe),,,,
144,Cu-BTC,Cu,H3BTC,solvothermal,DMF/EtOH/H2O,solid,2.0,24.0,1305.0,0.9,0.52,6.39,,273.0,1.01325,078.pdf,Cu-BTC,Metal/BTC,,,,
145,CG-3,Cu,H3BTC,solvothermal,DMF/EtOH/H2O,solid,2.0,24.0,1470.0,0.9,0.61,7.94,,273.0,1.01325,078.pdf,CG-3,CG-3,,,,
146,CG-9,Cu,H3BTC,solvothermal,DMF/EtOH/H2O,solid,2.0,24.0,1532.0,0.9,0.64,8.26,,273.0,1.01325,078.pdf,CG-9,CG-9,,,,
147,CG-15,Cu,H3BTC,solvothermal,DMF/EtOH/H2O,solid,2.0,24.0,500.0,0.9,0.31,2.97,,273.0,1.01325,078.pdf,CG-15,CG-15,,,,
148,HKUST-1,Cu,H3BTC,low temperature synthesis,DMF/EtOH/H2O,solid,2.0,10.0,1048.43,,0.51,1.8,,305.0,5.06625,079.pdf,HKUST-1,HKUST,,,cm3,
149,HKUST-1/GO,Cu,H3BTC,composite synthesis,DMF/EtOH/H2O,solid,2.0,10.0,1015.25,,0.5,2.5,,305.0,5.06625,079.pdf,HKUST-1,HKUST,,,cm3,
150,GrO@Cu-BTC,Cu,H3BTC,solvothermal,EtOH/H2O,solid,2.0,24.0,1677.0,,0.7,8.19,,273.0,1.0,080.pdf,GrO@Cu-BTC,Gr@,,,cm3,
151,Cu3(BTC)2/GO,Cu,H3BTC,pickering emulsion,n/octanol(oilphase)/H2O(H2Ophase),solid,2.0,60.0,898.0,,0.19,3.3,,298.0,,081.pdf,Cu3(BTC)2/GO,Gr@,,,cm3,
152,CuBTC,Cu,H3BTC,mixed solvent method,DMF/EtOH/H2O,solid,2.0,18.0,1580.0,0.8,0.64,8.02,,273.0,1.0,082.pdf,CuBTC,Metal/BTC,,,cm3,
153,CuBTC@1%GO,Cu,H3BTC,mixed solvent method,DMF/EtOH/H2O,solid,2.0,18.0,1772.0,0.8,0.72,8.9,,273.0,1.0,082.pdf,CuBTC@1%GO,Gr@,,,cm3,
154,GrO@HKUST-1,Cu,H3BTC,ultrafast synthesis,DMF(C3H7NO)/EtOH(C2H5OH)/H2O,solid,2.0,1.0,1554.0,,0.71,9.02,,273.0,1.0,083.pdf,HKUST-1,HKUST,,,cm3,
155,UiO-66,Zr,H2BDC,solvothermal,DMF,solid,4.0,24.0,1110.0,1.75,0.78,3.82,,298.0,4.0,084.pdf,UiO-66,UiO,,,,
156,UiO-66-NH2,Zr,H2BDC,solvothermal,DMF,solid,4.0,24.0,768.0,1.75,0.5,3.07,,298.0,4.0,084.pdf,UiO-66,UiO,,,,
157,HKUST-1,Cu,H3BTC,solvothermal,DMF,solid,2.0,21.0,434.0,1.0,0.29,3.45,,298.0,4.0,084.pdf,HKUST-1,HKUST,,,,
158,Cu-BTC,Cu,H3BTC,solvothermal,DMF/EtOH/H2O,,2.0,6.0,1760.0,0.7,0.83,9.59,,273.0,1.0,085.pdf,Cu-BTC,Metal/BTC,,,cm3,
159,Cu-BTC/GO10,Cu,H3BTC,solvothermal,DMF/EtOH/H2O,,2.0,6.0,1380.0,0.7,0.73,7.02,,298.0,1.0,085.pdf,Cu-BTC/GO10,Gr@,,,cm3,
160,Cu5BTC,Cu,C6H3(CO2)3,coordination,,,2.0,,892.0,,0.43,3.08,,298.0,15.0,086.pdf,Cu5BTC,Metal/BTC,,,cm3,
161,MOF/GO5U3,Cu,,composite synthesis,H2O,,2.0,24.0,1367.0,0.6,0.66,4.23,,303.0,,086.pdf,MOF/GO5U3,Gr@,,,cm3,
162,Cu-BTC,Cu,H3BTC,sonication and heating,,,2.0,24.0,892.0,0.6,0.43,3.86,,298.0,1.0,088.pdf,Cu-BTC,Metal/BTC,,,,
163,MOF/GO,Cu,H3BTC,sonication and heating,,,2.0,24.0,1010.0,,0.49,5.0,,298.0,1.0,088.pdf,MOF/GO,Gr@,,,,
164,MOF/GO;U3,Cu,H3BTC,sonication and heating,,,,24.0,1367.0,,0.66,7.27,9.5,298.0,1.0,088.pdf,MOF/GO;U3,Gr@,,,,
165,Cu3(BTC)2,Cu,H3BTC,ionic liquid-assisted growth,DMF,solid,2.0,8.0,2043.0,,0.2,5.62,,298.0,1.0,089.pdf,Cu3(BTC)2,Metal/BTC,,,cm3,
166,Cu-BTC,Cu,H3BTC,solvothermal,DMF/EtOH,solid,2.0,20.0,892.0,0.38,0.37,2.38,,323.0,1.1,090.pdf,Cu-BTC,Metal/BTC,,,cm3,
167,MOF/GO,Cu,H3BTC,solvothermal,DMF/EtOH,solid,2.0,20.0,1080.0,0.46,0.46,1.74,,323.0,1.1,090.pdf,MOF/GO,Gr@,,,cm3,
168,MOF/GO-Arg,Cu,H3BTC,solvothermal,DMF/EtOH,solid,2.0,20.0,956.0,0.42,0.43,3.371,,323.0,1.1,090.pdf,MOF/GO-Arg,Gr@,,,cm3,
169,HKUST-1,Cu,C6H3(CO2H)3,solvothermal,DMF,crystalline,,24.0,1379.87,0.9,0.7,3.55,,298.0,1.0,091.pdf,HKUST-1,HKUST,,,,
170,HKUST-1@10UV-GO,Cu,C6H3(CO2H)3,in-situ growth with uv-go,DMF,crystalline,,24.0,1323.49,10.48,0.78,5.14,45.0,298.0,1.0,091.pdf,HKUST-1,HKUST,,,,
171,GrO@MIL-101,Cr,,hydrothermal,,,,,2950.0,,1.42,22.4,,298.0,25.0,092.pdf,MIL-101,MIL,,,cm3,
172,MIL-101(Cr),Cr,H2BDC,solvothermal,DMFmixedwithH2O,solid,3.0,8.0,2486.0,3.15,1.12,28.65,,298.0,,093.pdf,MIL-101,MIL,,,cm3,
173,MIL-101@GO 5wt.%,Cr,H2BDC,solvothermal,DMFmixedwithH2O,solid,3.0,8.0,2872.0,3.15,1.34,32.19,,298.0,,093.pdf,MIL-101,MIL,,,cm3,
174,MIL-53(Cr),Cr,H2BDC,solvothermal,,,3.0,,1197.0,,0.47,4.814,,298.0,5.0,094.pdf,MIL-53,MIL,,,cm3,
175,1GrO@MIL-53(Cr),Cr,H2BDC,solvothermal,,,3.0,,1370.0,,0.54,5.279,,298.0,5.0,094.pdf,MIL-53,MIL,,,cm3,
176,10GrO@MIL-53(Cr),Cr,H2BDC,solvothermal,,,3.0,,1182.0,,0.56,10.81,,298.0,5.0,094.pdf,MIL-53,MIL,,,cm3,
177,ZIF-8,Zn,2-methylimidazole,"solvent induced precipitation, solvo(hydro)thermal, coordination modulation",,nanoscale,,,1120.0,1.17,,6.180413542376733,,195.0,1.01325,095.pdf,ZIF-8,ZIF,,,,
178,GO@ZIF-8,Zn,2-methylimidazole,coordination modulation via go,,hybrid nanocomposite,,,,,,16.359918200409,,195.0,1.01325,095.pdf,ZIF-8,ZIF,,,,
179,UiO-66,Zr,H2BDC,hydrothermal,DMF,solid,4.0,24.0,838.0,1.0,0.24,2.27,,298.0,1.0,096.pdf,UiO-66,UiO,,,cm3,
180,UiO-66/GO-1,Zr,H2BDC,hydrothermal,DMF,composite solid,4.0,24.0,923.0,1.0,0.31,,,298.0,1.0,096.pdf,UiO-66,UiO,,,cm3,
181,UiO-66/GO-5,Zr,H2BDC,hydrothermal,DMF,composite solid,4.0,24.0,1184.0,1.0,0.38,3.37,,298.0,1.0,096.pdf,UiO-66,UiO,,,cm3,
182,UiO-66/GO-10,Zr,H2BDC,hydrothermal,DMF,composite solid,4.0,24.0,1012.0,1.0,0.41,,,298.0,1.0,096.pdf,UiO-66,UiO,,,cm3,
183,UiO-66,Zr,H2BDC,solvothermal,DMF,,4.0,24.0,1110.0,2.0,0.78,3.82,,298.0,1.0,097.pdf,UiO-66,UiO,,,,
184,UiO-66-NH2,Zr,H2BDC,solvothermal,DMF,,4.0,24.0,768.0,2.0,0.5,3.07,,298.0,1.0,097.pdf,UiO-66,UiO,,,,
185,HKUST-1,Cu,H3BTC,solvothermal,DMF,,2.0,21.0,434.0,1.0,0.29,3.45,,298.0,1.0,097.pdf,HKUST-1,HKUST,,,,
186,JUC-32,Dy,H3BTC,in situ,DMF,solid,3.0,,419.5,,,1.8604443651289373,,273.0,,098.pdf,JUC-32,JUC-32,,,,
187,MWCNTs@JUC32-1,,,in situ,DMF,solid,,,146.0,,,1.5392165610778976,,273.0,,098.pdf,MWCNTs@JUC32-1,MWCNTs@JUC32-1,,,,
188,MWCNTs@JUC32-2,,,in situ,DMF,solid,,,207.0,,,1.3830641563308645,,273.0,,098.pdf,MWCNTs@JUC32-2,MWCNTs@JUC32-2,,,,
189,MOF-5-O,Zn,H2BDC,thermostatic drying oven,DMF,,2.0,18.0,290.0,0.4,0.15,0.64,,298.0,4.0,099.pdf,MOF-5,MOF,,,cm3,
190,MOF-5/GO-O,Zn,H2BDC,thermostatic drying oven,DMF,,2.0,18.0,325.0,0.53,0.21,1.06,,298.0,4.0,099.pdf,MOF-5,MOF,,,cm3,
191,MOF-5/AGO-O,Zn,H2BDC,thermostatic drying oven,DMF,,2.0,18.0,294.0,0.55,0.22,0.54,,298.0,4.0,099.pdf,MOF-5,MOF,,,cm3,
192,Co(bdp),Co,"bdp2− (1,4-benzenedipyrazolate)",solvothermal,DEF,microcrystalline solid,2.0,4.5,2911.0,1.3,,,,298.0,35.0,100.pdf,Co(bdp),Co(bdp),,,,
193,Fe(bdp),Fe,"bdp2− (1,4-benzenedipyrazolate)",solvothermal,DMF/MeOH,microcrystalline solid,2.0,12.0,2780.0,,,,,298.0,35.0,100.pdf,Fe(bdp),Fe(bdp),,,,
194,NOTT-100a,Cu,"Biphenyl-3,3',5,5'-tetracarboxylic acid (H4bptc)",solvothermal,DMF/1/4/dioxane/H2O,,2.0,72.0,1661.0,1.3,0.68,,,,,101.pdf,NOTT-100a,NOTT,,,cm3,
195,NOTT-101a,Cu,"Terphenyl-3,3'',5,5''-tetracarboxylic acid (H4tptc)",solvothermal,DMF/1/4/dioxane/H2O,,2.0,72.0,2805.0,1.3,1.08,,,,,101.pdf,NOTT-101a,NOTT,,,cm3,
196,NOTT-102a,Cu,"Quaterphenyl-3,3'',5,5''-tetracarboxylic acid (H4qptc)",solvothermal,DMF/1/4/dioxane/H2O,,2.0,72.0,3342.0,1.3,1.27,,,,,101.pdf,NOTT-102a,NOTT,,,cm3,
197,NOTT-103a,Cu,"5,5'-Naphthalene-2,6-diyl-diisophthalic acid",solvothermal,DMF/1/4/dioxane/H2O,,2.0,24.0,2958.0,1.3,1.16,,,,,101.pdf,NOTT-103a,NOTT,,,cm3,
198,NOTT-109a,Cu,"5,5'-Naphthalene-2,6-diyl-diisophthalic acid",solvothermal,DMF/H2O,,2.0,24.0,2110.0,0.9,0.85,,,,,101.pdf,NOTT-109a,NOTT,,,cm3,
199,HKUSTM1,Cu,,,DMF/EtOH/H2O,solid,2.0,,1850.0,0.4,0.78,,,298.0,65.0,102.pdf,HKUSTM1,HKUST,,,,
200,NiMMOFM74,Ni,,,,solid,2.0,,1350.0,1.36,0.51,,,298.0,65.0,102.pdf,NiMMOFM74,NiMMOFM74,,,,
201,PCNM14,,,,,solid,,,2000.0,0.7,0.78,,,298.0,65.0,102.pdf,PCNM14,PCN,,,,
202,UTSAM20,,,,,solid,,,1620.0,0.34,0.66,,,298.0,65.0,102.pdf,UTSAM20,UTSA,,,,
203,NUM125,,,,,solid,,,3120.0,2.4,1.23,,,298.0,65.0,102.pdf,NUM125,NUM125,,,,
204,NUM111,,,,,solid,,,4930.0,,2.12,,,298.0,65.0,102.pdf,NUM111,NUM111,,,,
205,macro-meso-Cu-BDC,Cu,H2BDC,solvent evaporation-induced co-assembly,EtOH,solid,,8.0,592.0,4.1,,2.208887302578745,77.0,273.0,1.0,103.pdf,macro-meso-Cu-BDC,Metal/BDC,,,,
206,ZJU-800,Zr,F-H2PDA,solvothermal,DMF,solid,4.0,96.0,1625.0,,0.89,,,,,104.pdf,ZJU-800,ZJU-800,,,,
207,Ni2(dobdc),Ni,H4doBDC,,,,2.0,,1593.0,,0.56,,,25.0,1.0132531,105.pdf,Ni2(dobdc),Metal/dobdc,,,,
208,Cu3(btc)2,Cu,btc3- (H3BTC,,,,2.0,,2203.0,,0.77,,,25.0,1.0132531,105.pdf,Cu3(BTC)2,Metal/BTC,,,,
209,Co2(dobdc),Co,H4doBDC,,,,2.0,,1433.0,,0.51,,,25.0,1.0132531,105.pdf,Co2(dobdc),Metal/dobdc,,,,
210,Cu2(adip),Cu,"adip4- (5,50-(9,10-anthracenediyl)di-isophthalate)",,,,2.0,,1984.0,,0.83,,,25.0,1.0132531,105.pdf,Cu2(adip),Cu2(adip),,,,
211,Mg2(dobdc),Mg,H4doBDC,,,,2.0,,1957.0,,0.69,,,25.0,1.0132531,105.pdf,Mg2(dobdc),Metal/dobdc,,,,
212,MOF-5,Zn,H2BDC2- (H2BDC,,,,2.0,,3995.0,,,,,25.0,1.0132531,105.pdf,MOF-5,MOF,,,,
213,Mg/DOBDC,Mg,H4doBDC,solvo-thermal,DMF/EtOH/H2O,microcrystalline,,,1495.0,,,7.998182231311066,,296.0,1.01325,106.pdf,Mg/DOBDC,Metal/dobdc,,,,
214,Co/DOBDC,Co,H4doBDC,,,,,,1080.0,,,0.22722108611679165,,296.0,1.01325,106.pdf,Co/DOBDC,Metal/dobdc,,,,
215,Ni/DOBDC,Ni,H4doBDC,,,,,,1070.0,,,0.22722108611679165,,296.0,1.01325,106.pdf,Ni/DOBDC,Metal/dobdc,,,,
216,Zn/DOBDC,Zn,H4doBDC,,,,,,816.0,,,0.22722108611679165,,296.0,1.01325,106.pdf,Zn/DOBDC,Metal/dobdc,,,,
217,Cu-BTC,Cu,C6H3(COO)3,solvent-assisted,EtOH/H2O,solid,2.0,,1492.0,0.9,,,,298.0,,107.pdf,Cu-BTC,Metal/BTC,,,,
218,[Cu3(btc)2(H2O)3] (HKUST-1),Cu,"btc (benzene-1,3,5-tricarboxylate)",,,,1.0,,,,,0.008,,273.0,12.0,108.pdf,HKUST-1,HKUST,,,,
219,PCN-68,Cu,ptei,solvothermal,H2O/dmf,,,,6033.0,23.2,2.13,30.4,,298.0,35.0,109.pdf,PCN-68,PCN,,,cm3,
220,PCN-610,Cu,ttti,solvothermal,H2O/dmf,,,,,26.0,3.0,,,,,109.pdf,PCN-610,PCN,,,cm3,
221,[Cu3(TDPAH)(H2O)3],Cu,isophthalate,solvothermal conditions,DMA,solid,,,2540.0,1.2,0.91,8.566234946603045,22.8,273.0,1.01325,110.pdf,[Cu3(TDPAH)(H2O)3],[Cu3(TDPAH)(H2O)3],,,cm3,
222,[Cd 3Na 6(BTC) 4(H 2O) 12 ]·H 2O,"Na, Cd",H3BTC,microwave-assisted,DMA/H2O,solid,,1.0,526.0,0.8,,2.71,,298.0,1.0132511,111.pdf,[Cd 3Na 6(BTC) 4(H 2O) 12 ]·H 2O,Metal/BTC,,,,
223,CPM-200-Fe/Mg,Fe/Mg,,cooperative crystallization,DMA/H2O,,,,,,,9.27,,273.0,1.0,112.pdf,CPM-200-Fe/Mg,CPM-200-Fe/Mg,,,,
224,CPM-200-In/Mg,In/Mg,,cooperative crystallization,DMA/H2O,,,,,,,8.52,,273.0,1.0,112.pdf,CPM-200-In/Mg,CPM-200-In/Mg,,,,
225,CPM-200-V/Mg,V/Mg,,cooperative crystallization,DMA/H2O,,,,,,,6.94,,273.0,1.0,112.pdf,CPM-200-V/Mg,CPM-200-V/Mg,,,,
226,CPM-200-Ga/Mg,Ga/Mg,,cooperative crystallization,DMA/H2O,,,,,,,6.08,,273.0,1.0,112.pdf,CPM-200-Ga/Mg,CPM-200-Ga/Mg,,,,
227,CPM-200-In/Co,In/Co,,cooperative crystallization,DMA/H2O,,,,,,,6.11,,273.0,1.0,112.pdf,CPM-200-In/Co,CPM-200-In/Co,,,,
228,Zn4(pydc)4(DMF)2·3DMF,Zn,"2,5-pyridinedicarboxylate (pydc)",solvothermal,DMF,solid,,2.0,196.0,0.72,0.12,58.946,42.0,273.0,1.01325,113.pdf,Zn4(pydc)4(DMF)2·3DMF,Zn4(pydc)4(DMF)2·3DMF,,,,
229,Zn2(pydc)2(DEF),Zn,"2,5-pyridinedicarboxylate (pydc)",solvothermal,DEF,solid,,3.0,,,,,,273.0,,113.pdf,Zn2(pydc)2(DEF),Zn2(pydc)2(DEF),,,,
230,MOF-69C,Zn,H2BDC,,DEF,solid,,,11.0,,,,,,,113.pdf,MOF-69C,MOF,,,,
231,SNU-1000,Zn,H3TCPT,heating and solvent exchange,DMF/MeOH,solid,,24.0,814.0,,0.32,3.2,,298.0,1.01325,114.pdf,SNU-1000,SNU,,,cm3,
232,SNU-1000-Li,Li,H3TCPT,cation exchange,,solid,1.0,10.0,924.0,,0.32,3.476482617586912,,298.0,1.01325,114.pdf,SNU-1000-Li,SNU,,,cm3,
233,SNU-1000-Mg,Mg,H3TCPT,cation exchange,,solid,2.0,10.0,959.0,,0.32,3.431038400363554,,298.0,1.01325,114.pdf,SNU-1000-Mg,SNU,,,cm3,
234,SNU-1000-Ca,Ca,H3TCPT,cation exchange,,solid,2.0,10.0,935.0,,0.32,3.431038400363554,,298.0,1.01325,114.pdf,SNU-1000-Ca,SNU,,,cm3,
235,SNU-1000-Co,Co,H3TCPT,cation exchange,,solid,2.0,10.0,1000.0,,0.32,3.8173142467620997,,298.0,1.01325,114.pdf,SNU-1000-Co,SNU,,,cm3,
236,SNU-1000-Ni,Ni,H3TCPT,cation exchange,,solid,2.0,10.0,982.0,,0.32,3.7718700295387415,,298.0,1.01325,114.pdf,SNU-1000-Ni,SNU,,,cm3,
237,UiO-66,Zr,,post-synthetic exchange,THF,,4.0,1.0,1390.0,0.6,0.7,2.2,,273.0,1.01325,115.pdf,UiO-66,UiO,,,,
238,Ti-exchanged UiO-66,Ti,,post-synthetic exchange,THF,,4.0,1.0,1844.0,0.6,0.94,4.0,,273.0,1.01325,115.pdf,UiO-66,UiO,,,,
239,Cd-MOF,Cd,"3,3',5,5'-tetrakis(p-carboxyphenyl)-2,2',6,6'-tetramethoxy-1,1'-biphenyl",solvothermal,DMF,colorless crystals,2.0,2.0,,,,,,,,116.pdf,Cd-MOF,MOF,,,,
240,Eu@MOF,Eu,"3,3',5,5'-tetrakis(p-carboxyphenyl)-2,2',6,6'-tetramethoxy-1,1'-biphenyl",postsynthetic metal node metathesis,DMF,,3.0,,,,,,,,,116.pdf,Eu@MOF,MOF,,,,
241,Tb@MOF,Tb,"3,3',5,5'-tetrakis(p-carboxyphenyl)-2,2',6,6'-tetramethoxy-1,1'-biphenyl",postsynthetic metal node metathesis,DMF,,3.0,,,,,,,,,116.pdf,Tb@MOF,MOF,,,,
242,Cd-4TP-1,Cd,4-tetrazole pyridine (4-TP),solvothermal,DMF,colorless plate crystals,,,472.2,0.75,,2.7,,273.0,1.01325,117.pdf,Cd-4TP-1,Cd-4TP-1,,,,
243,[Zn(HL)] $DMA (IFMC-1),Zn,"H3L (4,5-di(1H-tetrazol-5-yl)-2H-1,2,3-triazole)",solvothermal,DMA,colorless polyhedral crystals,,3.0,780.0,1.2,,7.5,,195.0,1.01325,118.pdf,[Zn(HL)] $DMA (IFMC-1),[Zn(HL)] $DMA (IFMC-1),,,,
244,NTU-105,Cu,H6-1,solvothermal,DMF,solid,,3.0,3543.0,1.2,1.33,8.339013860486254,36.7,273.0,1.01325,119.pdf,NTU-105,NTU-105,,,cm3,
245,[Mn2(Hcbptz)2(Cl)(H2O)]Cl·DMF·0.5CH3CN,Mn,H2cbptz,solvothermal,DMF/CH3CN,crystalline,,72.0,628.0,0.7,,3.135650988411725,,298.0,1.0,120.pdf,[Mn2(Hcbptz)2(Cl)(H2O)]Cl·DMF·0.5CH3CN,[Mn2(Hcbptz)2(Cl)(H2O)]Cl·DMF·0.5CH3CN,,,,
246,H3[(Cu4Cl)3(BTTri)8],Cu,BTTri,co-precipitation,DMF/aqueousHCl,purple powder,,,1770.0,,,20.449897750511248,,195.0,1.0,121.pdf,H3[(Cu4Cl)3(BTTri)8],H3[(Cu4Cl)3(BTTri)8],,,,
247,mmen-CuBTTri,Cu,"H3BTTri = 1,3,5-tri(1H-1,2,3-triazol-4-yl)benzene",grafting,anhydroushexane,solid,,18.0,870.0,,,2.158600318109521,15.4,298.0,0.15,122.pdf,mmen-CuBTTri,mmen-CuBTTri,,,,
248,en-Mg2(dobpdc),Mg,"H4dopdc (4,4-dihydroxy-(1,1-biphenyl)-3,3-dicarboxylic acid)",microwave-assisted solvothermal,Toluene/DMF/EtOH,white powder,,24.0,1253.0,,,3.7945921381504206,97.0,298.0,1.0,123.pdf,en-Mg2(dobpdc),Metal/dobpdc,,,,
249,MIL-101(Cr),Cr,H2BDC,hydrothermal reaction,H2O/MeOH,solid,3.0,8.0,3225.0,1.4,1.63,5.0,,298.0,0.15,124.pdf,MIL-101,MIL,,,cm3,
250,PEI-MIL-101-50,Cr,H2BDC,wet impregnation,MeOH,solid,3.0,12.0,1802.7,1.4,0.9,4.0,,298.0,0.15,124.pdf,MIL-101,MIL,,,cm3,
251,PEI-MIL-101-75,Cr,H2BDC,wet impregnation,MeOH,solid,3.0,12.0,1112.6,1.4,0.53,4.64,,298.0,0.15,124.pdf,MIL-101,MIL,,,cm3,
252,PEI-MIL-101-100,Cr,H2BDC,wet impregnation,MeOH,solid,3.0,12.0,608.4,1.4,0.29,5.0,,298.0,0.15,124.pdf,MIL-101,MIL,,,cm3,
253,PEI-MIL-101-125,Cr,H2BDC,wet impregnation,MeOH,solid,3.0,12.0,182.9,1.4,0.1,4.35,,298.0,0.15,124.pdf,MIL-101,MIL,,,cm3,
254,IRMOF-74-III-CH2NH2,Mg,Functionalized linkers with -CH2NH2,,DMF/EtOH/H2O,microcrystalline solid,2.0,20.0,2640.0,2.5,,0.8,,298.0,1.066576,125.pdf,IRMOF-74,IRMOF,,,,
255,IRMOF-74-III-CH3,Mg,Functionalized linkers with -CH3,,DMF/EtOH/H2O,microcrystalline solid,2.0,20.0,2440.0,2.5,,,,298.0,1.066576,125.pdf,IRMOF-74,IRMOF,,,,
256,Mg-MOF-74,Mg,,,,,2.0,,,,,,,,,126.pdf,MOF-74,MOF,,,,
257,Mn-MOF-74,Mn,,,,,2.0,,,,,,,,,126.pdf,MOF-74,MOF,,,,
258,Fe-MOF-74,Fe,,,,,2.0,,,,,,,,,126.pdf,MOF-74,MOF,,,,
259,Co-MOF-74,Co,,,,,2.0,,,,,,,,,126.pdf,MOF-74,MOF,,,,
260,Ni-MOF-74,Ni,,,,,2.0,,,,,,,,,126.pdf,MOF-74,MOF,,,,
261,Cu-MOF-74,Cu,,,,,2.0,,,,,,,,,126.pdf,MOF-74,MOF,,,,
262,Zn-MOF-74,Zn,,,,,2.0,,,,,,,,,126.pdf,MOF-74,MOF,,,,
263,Ti-MOF-74,Ti,,,,,4.0,,,,,,,,,126.pdf,MOF-74,MOF,,,,
264,V-MOF-74,V,,,,,5.0,,,,,,,,,126.pdf,MOF-74,MOF,,,,
265,Cr-MOF-74,Cr,,,,,3.0,,,,,,,,,126.pdf,MOF-74,MOF,,,,
266,Mg2(dondc),Mg,H4dondc (H4dondc),microwave-assisted solvothermal,DEF/THF/MeOH,porous solid,2.0,90.0,1553.0,1.5,,4.8,,298.0,0.15,127.pdf,Mg2(dondc),Mg2(dondc),,,,
267,1-en (Mg2(dondc)(en)1.5(H2O)0.5),Mg,H4dondc,post-synthetic modification,Toluene,,2.0,17.0,40.0,,,1.99,,298.0,0.15,127.pdf,1-en (Mg2(dondc)(en)1.5(H2O)0.5),1-en (Mg2(dondc)(en)1.5(H2O)0.5),,,,
268,1-mmen (Mg2(dondc)(mmen)1.2(H2O)0.8),Mg,H4dondc,post-synthetic modification,Toluene,,2.0,4.0,99.0,,,3.2,,298.0,0.15,127.pdf,1-mmen (Mg2(dondc)(mmen)1.2(H2O)0.8),1-mmen (Mg2(dondc)(mmen)1.2(H2O)0.8),,,,
269,1-ppz (Mg2(dondc)(ppz)1.1(H2O)0.9),Mg,H4dondc,post-synthetic modification,Chloroform,,2.0,17.0,47.0,,,2.04,,298.0,0.15,127.pdf,1-ppz (Mg2(dondc)(ppz)1.1(H2O)0.9),1-ppz (Mg2(dondc)(ppz)1.1(H2O)0.9),,,,
270,MIL-101(Cr),Cr,NH2-BDC,oh2-assisted hydrothermal,H2O,nanoparticles,,12.0,1675.0,,,3.3,,273.4,1.0,128.pdf,MIL-101,MIL,,,,
271,UiO-66,Zr,H2BDC,,DMF/MeOH,solid,4.0,,1105.0,,0.55,,,298.0,20.0,129.pdf,UiO-66,UiO,,,,
272,UiO-66-NH2,Zr,NH2-BDC,,DMF/MeOH,solid,4.0,,1123.0,,0.52,,,298.0,20.0,129.pdf,UiO-66,UiO,,,,
273,UiO-66-NO2,Zr,2-nitro-H2BDC,,DMF/MeOH,solid,4.0,,792.0,,0.4,,,298.0,20.0,129.pdf,UiO-66,UiO,,,,
274,"UiO-66-1,4-Naphyl",Zr,"1,4-naphthalene-dicarboxylic acid",,DMF/MeOH,solid,4.0,,757.0,,0.42,,,298.0,20.0,129.pdf,UiO-66,UiO,,,,
275,"UiO-66-2,5-(OMe)2",Zr,"2,5-dimethoxy-H2BDC",,DMF/MeOH,solid,4.0,,868.0,,0.38,,,298.0,20.0,129.pdf,UiO-66,UiO,,,,
276,SIFSIX-3-Ni,Sc,Pyrazine (pyz),solvent-free,MeOH,solid,2.0,4.0,,0.38,,,,298.0,,130.pdf,SIFSIX-3,SIFSIX,,,,
277,SIFSIX-1-Cu,Cu,"4,4'-bipyridine",,,crystal,2.0,,3140.0,0.95,,1.84,,298.0,1.0,131.pdf,SIFSIX-1,SIFSIX,,,,
278,SIFSIX-2-Cu,Cu,"4,4'-dipyridylacetylene",,,crystal,2.0,,3140.0,1.31,,1.84,,298.0,1.0,131.pdf,SIFSIX-2,SIFSIX,,,,
279,SIFSIX-2-Cu-i,Cu,"4,4'-dipyridylacetylene",,,crystal,2.0,,735.0,0.52,,5.41,,298.0,1.0,131.pdf,SIFSIX-2,SIFSIX,,,,
280,SIFSIX-3-Zn,Zn,pyrazine,,,crystal,2.0,,250.0,0.38,,2.52,,298.0,1.0,131.pdf,SIFSIX-3,SIFSIX,,,,
281,SIFSIX-3-Cu,Cu,Pyrazine,layering,MeOH,light violet powder,,24.0,300.0,0.35,,3.685196752029981,,298.0,0.01,132.pdf,SIFSIX-3,SIFSIX,,,,
282,"Zn-amino-1,2,4-triazole-oxalate",Zn,Oxalic acid,solvothermal,H2O,porous,2.0,48.0,782.0,0.38,0.19,4.35,,273.0,1.2,133.pdf,"Zn-amino-1,2,4-triazole-oxalate","Zn-amino-1,2,4-triazole-oxalate",,,,
